uploadID,uploadRA,uploadDEC,uploadSearchID,objID,survey,specObjID,distance_arcmin,fov_radius,IAUName,ra,dec,band,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,spectra,fuv_fwhm_world,nuv_fwhm_world,ra_cent,dec_cent,minObsDate,meanObsDate,maxObsDate,minObsMJD,meanObsMJD,maxObsMJD,tilename,tilenum,img,subvis,photoextractid,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact
100286,173.065,-29.2686,482,6386889487260057992,AIS,0,0.4570423605,0.4791056216,GALEX J113215.5-291539,173.0647297,-29.26098628,1,108,108,-999,-999,11.7653017,0.00267628,-999,-999,71429.69,176.027466,0.060468208,FALSE,-99,0.01667056,173.60302,-29.16713,2/1/2007,2/1/2007,2/1/2007,54132.48622,54132.48622,54132.48747,AIS_454,50454,1,25,6386889487259009024,2117.771729,623.1095581,0,-99,-99,0
100287,173.065,-29.2686,483,6386889487260057992,AIS,0,0.4570423605,0.4791056216,GALEX J113215.5-291539,173.0647297,-29.26098628,1,108,108,-999,-999,11.7653017,0.00267628,-999,-999,71429.69,176.027466,0.060468208,FALSE,-99,0.01667056,173.60302,-29.16713,2/1/2007,2/1/2007,2/1/2007,54132.48622,54132.48622,54132.48747,AIS_454,50454,1,25,6386889487259009024,2117.771729,623.1095581,0,-99,-99,0
100286,173.065,-29.2686,482,6386889480818660112,AIS,0,0.3496938751,0.4851380587,GALEX J113215.9-291546,173.0666148,-29.26294457,2,135,135,16.7808037,0.0396403037,-999,-999,704.174866,25.703228,-999,-999,0.060468208,FALSE,0.00105548638,-99,172.54309,-29.42759,2/1/2007,2/1/2007,2/1/2007,54132.49436,54132.49436,54132.49593,AIS_454,50454,1,19,6386889480816558080,-99,-99,1,6.541518688,6.817069054,0
100287,173.065,-29.2686,483,6386889480818660112,AIS,0,0.3496938751,0.4851380587,GALEX J113215.9-291546,173.0666148,-29.26294457,2,135,135,16.7808037,0.0396403037,-999,-999,704.174866,25.703228,-999,-999,0.060468208,FALSE,0.00105548638,-99,172.54309,-29.42759,2/1/2007,2/1/2007,2/1/2007,54132.49436,54132.49436,54132.49593,AIS_454,50454,1,19,6386889480816558080,-99,-99,1,6.541518688,6.817069054,0
81919,141.915,-35.0019,422,6386467311303267290,AIS,0,0.4411790927,0.3804021478,GALEX J092738.2-350027,141.9093762,-35.0076312,2,213.25,213.25,12.4182673,0.003991699,-999,-999,39146.69,143.887482,-999,-999,0.1935791,FALSE,0.00149056443,-99,141.81736,-34.6348,2/23/2007,8/4/2007,1/13/2008,54154.06285,54316.22951,54478.42951,AIS_442,50442,1,59,6386467311301165056,-99,-99,8,363.6579895,359.3505859,0
82785,143.284,-39.1433,431,6386326514760157587,AIS,0,0.4948252801,0.219613567,GALEX J093305.6-390834,143.2733788,-39.14290196,3,128,128,20.2173042,0.2531773,14.4365625,0.009245893,29.7221622,6.929076,6100.624,51.9389648,0.4494122,FALSE,0.002624582,0.00149162021,143.38259,-39.34558,1/31/2007,1/31/2007,1/31/2007,54131.24811,54131.24811,54131.24959,AIS_438,50438,1,4,6386326514757009408,180.8733826,183.5168304,2,0.2761076689,0.2729686797,0
53952,106.385,-34.7694,336,6386045118164501628,AIS,0,0.437074489,0.4967680275,GALEX J070532.7-344635,106.3866116,-34.77656329,1,176,0,-999,-999,12.0302706,0.00275115483,-999,-999,55961.7422,141.76741,0.19922708,FALSE,-99,0.04658564,105.79374,-34.87618,12/30/2011,1/8/2012,1/17/2012,55925.78767,55934.66267,55943.58258,AIS_430,50430,1,77,6386045118163451904,1659.172852,349.806488,153,-99,-99,-999
20794,49.8575,-43.0878,147,6385833945359978651,AIS,0,0.3560727468,0.546392262,GALEX J031923.9-430509,49.84982915,-43.08584181,1,95.15,95.15,-999,-999,22.4364147,0.5158419,-999,-999,3.84975839,1.82860649,0.0134780342,FALSE,-99,0.00171072269,50.00151,-43.62099,1/5/2007,1/5/2007,1/5/2007,54105.84634,54105.84634,54105.84744,AIS_424,50424,1,15,6385833945358925824,0.1141389534,0.03292902559,0,-99,-99,0
20794,49.8575,-43.0878,147,6385833937843781985,AIS,0,0.2743105865,0.462808907,GALEX J031927.2-430521,49.86336192,-43.08940475,1,105,105,-999,-999,22.575964,0.546057343,-999,-999,3.38543153,1.70224667,0.0134780342,FALSE,-99,0.00257466733,49.70205,-42.64195,1/5/2007,1/5/2007,1/5/2007,54105.84472,54105.84472,54105.84594,AIS_424,50424,1,8,6385833937842733056,0.1003724337,-0.03430742398,1,-99,-99,0
31204,72.7371,-53.4489,230,6385693226126284921,AIS,0,0.4496192979,0.03164752573,GALEX J045056.9-532629,72.73737697,-53.44140816,2,182,182,20.3655167,0.1634482,-999,-999,25.9295712,3.90252447,-999,-999,0.0064032604,FALSE,0.0045418567,-99,72.77477,-53.4639,10/24/2006,11/14/2006,12/5/2006,54032.65267,54053.52767,54074.42492,AIS_420,50420,1,32,6385693226124181504,-99,-99,2,0.2408759296,0.1799854189,0
