HD, RA, DEC, Band, Far UV Calibrated Magnitude, Far UV Error, Apparent V Magnitude, B-V Color Index, Distance, X-Ray Luminosity, Bolometric Correction
661, 2.63917, -73.2267, 2, 14.4172, 0.0100083, 6.64, 0.37, 66.4, 74.1, 0.026
905, 3.37875, 41.0394, 2, 13.1775, 0.00536284, 5.72, 0.31, 35, 54.7, 0.034
6288, 15.9587, 1.37056, 2, 12.8213, 0.00434616, 6.04, 0.27, 56.6, 120.5, 0.035
6288, 15.9587, 1.37056, 2, 13.3032, 0.00658402, 6.04, 0.27, 56.6, 120.5, 0.035
6314, 16.1542, 39.9867, 3, 13.5985, 0.0105536, 6.72, 0.31, 84.4, 307.4, 0.034
6479, 16.4679, 4.9025, 2, 17.6836, 0.0466873, 6.35, 0.38, 45.7, 72.6, 0.025
9919, 24.2779, 12.1436, 2, 13.204, 0.00505554, 5.57, 0.35, 33.8, 31, 0.03
9919, 24.2779, 12.1436, 2, 13.2609, 0.0062064, 5.57, 0.35, 33.8, 31, 0.03
10830, 26.4163, -25.0486, 2, 13.4703, 0.00707217, 5.31, 0.39, 27.4, 155, 0.022
11257, 27.7042, 11.0461, 2, 20.5737, 0.22408, 5.94, 0.3, 42.6, 48.8, 0.034
11257, 27.7042, 11.0461, 2, 22.0147, 0.408672, 5.94, 0.3, 42.6, 48.8, 0.034
13456, 32.8271, -10.0456, 2, 21.9225, 0.276602, 6.01, 0.39, 50, 68.4, 0.022
13456, 32.8271, -10.0456, 2, 22.7571, 0.387075, 6.01, 0.39, 50, 68.4, 0.022
13456, 32.8271, -10.0456, 2, 21.2777, 0.219075, 6.01, 0.39, 50, 68.4, 0.022
13456, 32.8271, -10.0456, 2, 22.0637, 0.276308, 6.01, 0.39, 50, 68.4, 0.022
17390, 41.6838, -21.6472, 2, 20.1837, 0.171314, 6.49, 0.38, 45.1, 125.9, 0.025
18928, 45.8913, 28.2761, 2, 19.9781, 0.244439, 6.36, 0, 50, 23.5, -0.155
19545, 46.9412, -27.8161, 2, 20.6714, 0.239199, 6.19, 0.16, 57.6, 137.9, 0.026
20193, 48.9467, 32.8547, 2, 14.4974, 0.0155539, 6.31, 0.37, 62, 110.1, 0.026
20193, 48.9467, 32.8547, 2, 13.9345, 0.00793091, 6.31, 0.37, 62, 110.1, 0.026
22701, 62.4371, 86.6294, 2, 14.4861, 0.010375, 5.86, 0.37, 40.9, 206.3, 0.026
22701, 62.4371, 86.6294, 2, 14.1731, 0.0108769, 5.86, 0.37, 40.9, 206.3, 0.026
24164, 59.1525, 71.8133, 2, 20.9332, 0.27685, 6.34, 0.3, 60.1, 141, 0.034
24164, 59.1525, 71.8133, 2, 21.2076, 0.312684, 6.34, 0.3, 60.1, 141, 0.034
24357, 58.2762, 17.3319, 2, 20.5282, 0.423191, 5.97, 0.34, 41.4, 80.5, 0.031
25867, 61.7492, 29.0036, 2, 13.7105, 0.00664348, 5.23, 0.34, 27.6, 27.5, 0.031
25867, 61.7492, 29.0036, 2, 13.0537, 0.00522526, 5.23, 0.34, 27.6, 27.5, 0.031
26322, 62.6992, 26.4786, 2, 20.0518, 0.156238, 5.41, 0.34, 59.8, 204.9, 0.031
26322, 62.6992, 26.4786, 2, 13.8768, 0.00644912, 5.41, 0.34, 59.8, 204.9, 0.031
29169, 69.1283, 23.3553, 2, 21.2047, 0.550523, 6.02, 0.38, 44.2, 37.4, 0.025
29169, 69.1283, 23.3553, 2, 21.0942, 0.515083, 6.02, 0.38, 44.2, 37.4, 0.025
31203, 72.7367, -53.4656, 2, 13.0437, 0.00440302, 5.61, 0.33, 37.1, 131.3, 0.032
31204, 72.7371, -53.4489, 2, 20.3655, 0.163448, 6.42, 0, 32.1, 98.3, -0.155
31362, 74.0492, 24.61, 2, 21.3375, 0.379237, 6.37, 0.33, 43.2, 138.2, 0.032
38385, 85.8742, -39.4058, 2, 14.1401, 0.0139363, 6.25, 0.37, 53.4, 17.4, 0.026
38385, 85.8742, -39.4058, 2, 19.8552, 0.238663, 6.25, 0.37, 53.4, 17.4, 0.026
40745, 90.0783, -12.8953, 2, 14.1075, 0.00782487, 6.22, 0.36, 59.9, 39.7, 0.028
45229, 95.7233, -56.37, 2, 13.6379, 0.00953518, 5.61, 0.24, 50.3, 42.9, 0.034
45229, 95.7233, -56.37, 2, 12.4311, 0.00551643, 5.61, 0.24, 50.3, 42.9, 0.034
45947, 99.52, 73.6897, 2, 20.9143, 0.327155, 6.24, 0.38, 35.6, 66.9, 0.025
50018, 103.27, 38.8636, 2, 20.3912, 0.182606, 6.12, 0.37, 162.6, 1397.4, 0.026
50018, 103.27, 38.8636, 2, 21.1576, 0.248816, 6.12, 0.37, 162.6, 1397.4, 0.026
56963, 110.337, 45.2147, 2, 21.0526, 0.407541, 5.77, 0.32, 34.5, 24.8, 0.033
69548, 125.115, 57.7378, 2, 14.5865, 0.0108634, 5.89, 0.39, 31.7, 80, 0.022
69548, 125.115, 57.7378, 2, 20.1878, 0.175944, 5.89, 0.39, 31.7, 80, 0.022
74243, 131.052, 36.9236, 2, 22.401, 0.543617, 6.33, 0, 65.3, 212.3, -0.155
78661, 137.46, 11.5608, 2, 21.0158, 0.246581, 6.48, 0.34, 37.7, 24.8, 0.031
80441, 140.242, 38.1936, 2, 14.7395, 0.0168079, 6.12, 0.38, 47.8, 143.8, 0.025
80441, 140.242, 38.1936, 2, 21.6943, 0.440626, 6.12, 0.38, 47.8, 143.8, 0.025
81919, 141.915, -35.0019, 2, 12.4183, 0.0039917, 6.65, 0.2, 114.7, 930.5, 0.032
82785, 143.284, -39.1433, 3, 20.2173, 0.253177, 6.43, 0.33, 72.7, 204.9, 0.032
83951, 145.682, 35.0775, 2, 21.257, 0.295628, 6.14, 0.36, 53.3, 69.6, 0.028
89565, 154.993, -9.06861, 2, 22.3375, 0.448697, 6.32, 0.33, 53.3, 40.3, 0.032
91480, 158.782, 57.0839, 3, 13.7817, 0.0103371, 5.16, 0.34, 26.5, 77.7, 0.031
91858, 159.068, -10.5847, 2, 13.6056, 0.0116814, 6.57, 0.29, 57.6, 91.2, 0.035
93742, 162.344, -4.02861, 2, 20.0174, 0.210889, 6.61, 0.22, 95.9, 300.4, 0.033
