HD, RA, DEC, Band, Far UV Calibrated Magnitude, Far UV Error, Apparent V Magnitude, B-V Color Index, Distance, X-Ray Luminosity, Bolometric Correction
16417, 39.2388, -34.5656, 2, 22.3928, 0.516442, 5.79, 0.66, 25.5, 29.5, -0.098
16673, 40.0454, -9.45333, 2, 16.1999, 0.0225552, 5.78, 0.52, 21.5, 35.2, -0.021
17051, 40.6117, -50.8078, 2, 21.3741, 0.265837, 5.41, 0.56, 17.2, 68.3, -0.039
17925, 43.1192, -12.7728, 2, 22.506, 0.50692, 6.04, 0.87, 10.4, 119.6, -0.259
18149, 43.4025, -38.4422, 2, 20.6908, 0.223718, 5.92, 0.44, 59.4, 416.6, 0.009
18149, 43.4025, -38.4422, 2, 22.2488, 0.42542, 5.92, 0.44, 59.4, 416.6, 0.009
18149, 43.4025, -38.4422, 2, 21.7729, 0.352547, 5.92, 0.44, 59.4, 416.6, 0.009
18692, 44.8954, -25.285, 2, 20.3072, 0.20156, 5.71, 0.4, 32.3, 117, 0.02
18692, 44.8954, -25.285, 2, 20.212, 0.186004, 5.71, 0.4, 32.3, 117, 0.02
22211, 53.7046, 6.41806, 3, 16.4095, 0.0341494, 6.49, 0.63, 134.6, 2589.1, -0.079
22905, 55.0558, -15.2264, 2, 17.7662, 0.0502744, 6.33, 0.88, 197.6, 1257.8, -0.268
22905, 55.0558, -15.2264, 3, 17.9434, 0.0693296, 6.33, 0.88, 197.6, 1257.8, -0.268
26913, 63.8587, 6.20111, 3, 18.8651, 0.0924995, 6.93, 0.7, 20.9, 158.2, -0.124
30495, 71.8942, -16.9383, 2, 17.1454, 0.0376382, 5.51, 0.63, 13.3, 68.2, -0.079
30495, 71.8942, -16.9383, 3, 17.0003, 0.0406021, 5.51, 0.63, 13.3, 68.2, -0.079
31662, 75.3979, 61.0842, 2, 15.14, 0.015173, 6.03, 0.41, 36.9, 104.7, 0.018
31662, 75.3979, 61.0842, 2, 21.2326, 0.337418, 6.03, 0.41, 36.9, 104.7, 0.018
32008, 74.9579, -10.2667, 2, 11.829, 0.00291731, 5.38, 0.8, 54.7, 1225.9, -0.2
32743, 75.7058, -49.1594, 2, 21.8904, 0.558596, 5.38, 0.42, 26.2, 104.9, 0.015
32743, 75.7058, -49.1594, 2, 14.6721, 0.018258, 5.38, 0.42, 26.2, 104.9, 0.015
32743, 75.7058, -49.1594, 2, 14.8707, 0.0188496, 5.38, 0.42, 26.2, 104.9, 0.015
32743, 75.7058, -49.1594, 2, 20.0237, 0.24406, 5.38, 0.42, 26.2, 104.9, 0.015
35386, 80.8042, -26.7061, 2, 16.5117, 0.0238844, 6.49, 0.5, 52.4, 247.7, -0.012
41700, 91.1233, -45.0408, 3, 16.4724, 0.0379079, 6.35, 0.52, 26.7, 427.6, -0.021
41824, 91.2025, -48.4586, 2, 17.1269, 0.049421, 6.58, 0.72, 29.7, 1809.6, -0.139
43162, 93.435, -23.8617, 3, 18.0772, 0.0671937, 6.39, 0.72, 16.7, 136.3, -0.139
43162, 93.435, -23.8617, 2, 20.5329, 0.23946, 6.39, 0.72, 16.7, 136.3, -0.139
48682, 101.677, 43.5792, 2, 16.8318, 0.0247285, 5.25, 0.56, 16.5, 11.4, -0.039
48766, 102.059, 55.7103, 2, 15.6415, 0.0275372, 6.28, 0.47, 47, 217, -0.001
58805, 101.745, -87.0219, 2, 15.3939, 0.0117791, 6.47, 0.42, 39.1, 36.8, 0.015
62613, 119.16, 80.2633, 3, 22.0204, 0.510808, 6.56, 0.73, 17, 3.4, -0.146
63332, 117.796, 54.1322, 2, 22.3065, 0.610817, 6.02, 0.46, 30, 28.5, 0.003
64235, 118.185, -5.42444, 2, 21.0032, 0.42742, 5.76, 0.41, 40.9, 557, 0.018
68255, 123.057, 17.6522, 2, 19.2484, 0.108971, 6.2, 0.6, 25.6, 52.5, -0.061
68255, 123.057, 17.6522, 2, 15.8082, 0.0201795, 6.2, 0.6, 25.6, 52.5, -0.061
68256, 123.057, 17.6522, 2, 19.2484, 0.108971, 6.02, 0.54, 25.6, 52.5, -0.03
68256, 123.057, 17.6522, 2, 15.8082, 0.0201795, 6.02, 0.54, 25.6, 52.5, -0.03
71153, 126.663, 24.54, 2, 13.8987, 0.0127858, 7.81, 0.52, 76, 1321.3, -0.021
71153, 126.663, 24.54, 2, 14.1259, 0.0116659, 7.81, 0.52, 76, 1321.3, -0.021
72905, 129.796, 65.0186, 2, 16.7511, 0.0492044, 5.64, 0.62, 14.3, 128.4, -0.073
72905, 129.796, 65.0186, 2, 16.7329, 0.0441199, 5.64, 0.62, 14.3, 128.4, -0.073
74688, 131.338, -2.59639, 2, 16.7965, 0.026256, 6.41, 0.52, 87, 281.6, -0.021
77084, 134.918, -19.2058, 2, 15.9193, 0.0284635, 6.18, 0.46, 39.6, 116.7, 0.003
78154, 137.598, 67.1294, 2, 15.4494, 0.0230779, 4.8, 0.49, 20.5, 12.3, -0.008
87141, 151.162, 53.8994, 2, 21.1936, 0.443933, 5.74, 0.48, 47.3, 105.6, -0.004
89169, 154.189, -20.6656, 2, 15.8765, 0.0282066, 6.57, 0.48, 102, 551.4, -0.004
89995, 155.83, 5.69472, 2, 22.383, 0.499393, 6.54, 0.46, 55.7, 91.9, 0.003
89995, 155.83, 5.69472, 2, 21.736, 0.375642, 6.54, 0.46, 55.7, 91.9, 0.003
90839, 157.658, 55.9881, 2, 15.6716, 0.0257975, 4.84, 0.52, 12.9, 18.4, -0.021
90839, 157.658, 55.9881, 2, 20.9533, 0.326141, 4.84, 0.52, 12.9, 18.4, -0.021
90839, 157.658, 55.9881, 2, 21.9536, 0.490636, 4.84, 0.52, 12.9, 18.4, -0.021
91706, 158.743, -23.1836, 2, 21.6632, 0.312266, 6.1, 0.5, 63.5, 140.7, -0.012
91706, 158.743, -23.1836, 2, 15.9055, 0.0194639, 6.1, 0.5, 63.5, 140.7, -0.012
92588, 160.351, -1.73889, 3, 17.3275, 0.0530236, 6.26, 0.88, 34.4, 140, -0.268
94388, 163.371, -20.1319, 2, 15.7334, 0.0206204, 5.24, 0.47, 31.3, 74.4, -0.001
94388, 163.371, -20.1319, 2, 20.9086, 0.26984, 5.24, 0.47, 31.3, 74.4, -0.001
94388, 163.371, -20.1319, 3, 15.8162, 0.0187562, 5.24, 0.47, 31.3, 74.4, -0.001
97855, 169.006, 52.7714, 2, 16.0758, 0.0316434, 6.5, 0.43, 39.1, 28.7, 0.012
97855, 169.006, 52.7714, 2, 22.1216, 0.537738, 6.5, 0.43, 39.1, 28.7, 0.012
