HD, RA, DEC, Band, Far UV Calibrated Magnitude, Far UV Error, Apparent V Magnitude, B-V Color Index, Distance, X-Ray Luminosity, Bolometric Correction
3158, 8.60417, -52.3819, 2, 22.2732, 0.402654, 5.57, 0.47, 25.6, 39.6, -0.001
3302, 8.91542, -47.9989, 2, 14.8386, 0.0128634, 5.51, 0.44, 36.2, 251.5, 0.009
3302, 8.91542, -47.9989, 2, 21.1423, 0.281346, 5.51, 0.44, 36.2, 251.5, 0.009
3794, 10.1279, -16.5175, 3, 15.5131, 0.0209563, 6.49, 0.92, 154.3, 5597.4, -0.304
4391, 11.44, -47.5531, 3, 17.5916, 0.0459342, 5.8, 0.64, 14.9, 55.8, -0.085
4391, 11.44, -47.5531, 2, 21.5227, 0.294516, 5.8, 0.64, 14.9, 55.8, -0.085
4628, 12.0654, 5.3125, 3, 22.4788, 0.44928, 5.75, 0.88, 7.5, 3.9, -0.268
4628, 12.0654, 5.3125, 3, 19.9251, 0.12828, 5.75, 0.88, 7.5, 3.9, -0.268
4813, 12.5337, -10.6383, 3, 16.0055, 0.0219192, 5.19, 0.5, 15.5, 9.5, -0.012
4813, 12.5337, -10.6383, 2, 16.0041, 0.0211818, 5.19, 0.5, 15.5, 9.5, -0.012
5190, 13.1004, -69.5064, 2, 19.8491, 0.126092, 6.22, 0.56, 61.2, 125.2, -0.039
5190, 13.1004, -69.5064, 2, 19.8219, 0.135505, 6.22, 0.56, 61.2, 125.2, -0.039
5190, 13.1004, -69.5064, 2, 17.6747, 0.0447183, 6.22, 0.56, 61.2, 125.2, -0.039
5190, 13.1004, -69.5064, 2, 17.4071, 0.0435104, 6.22, 0.56, 61.2, 125.2, -0.039
6480, 16.4679, 4.9025, 2, 17.6836, 0.0466873, 7.25, 0.49, 44.1, 67.4, -0.008
6920, 17.5754, 42.0828, 3, 16.8202, 0.0362892, 5.65, 0.6, 52.7, 302.3, -0.061
7259, 18.105, -30.8022, 2, 15.9096, 0.0268351, 6.52, 0.48, 71.2, 242.1, -0.004
9544, 23.1504, -49.7192, 3, 15.4229, 0.0172709, 6.28, 0.46, 80.6, 369.1, 0.003
10453, 25.4329, -11.3111, 2, 20.648, 0.296082, 5.75, 0.44, 37.3, 38.5, 0.009
10453, 25.4329, -11.3111, 2, 22.1314, 0.556051, 5.75, 0.44, 37.3, 38.5, 0.009
10481, 25.3708, -38.1278, 2, 14.8818, 0.0169106, 6.17, 0.42, 41.9, 136.8, 0.015
10800, 24.4392, -82.9775, 2, 17.1679, 0.0584007, 5.87, 0.61, 27.1, 180.3, -0.067
11262, 27.4542, -38.4033, 2, 17.2236, 0.0557034, 6.37, 0.52, 27.1, 14.8, -0.021
11262, 27.4542, -38.4033, 2, 16.9779, 0.0624933, 6.37, 0.52, 27.1, 14.8, -0.021
12363, 28.9421, -78.3628, 2, 20.3592, 0.287286, 6.16, 0.44, 41.3, 142, 0.009
13612, 33.1921, -2.39722, 2, 20.6662, 0.189669, 5.54, 0.57, 46.1, 45.9, -0.045
13612, 33.1921, -2.39722, 2, 17.3226, 0.0393609, 5.54, 0.57, 46.1, 45.9, -0.045
13612, 33.1921, -2.39722, 3, 17.2709, 0.038039, 5.54, 0.57, 46.1, 45.9, -0.045
13872, 33.9217, 25.0492, 3, 16.1056, 0.0208147, 5.58, 0.49, 48.1, 155.7, -0.008
14802, 35.6379, -23.8108, 2, 17.1278, 0.0371385, 5.2, 0.6, 21.9, 397.1, -0.061
14802, 35.6379, -23.8108, 3, 16.9999, 0.0486032, 5.2, 0.6, 21.9, 397.1, -0.061
15524, 37.6371, 25.2453, 2, 21.3569, 0.481188, 5.92, 0.41, 51, 491.9, 0.018
16232, 39.2383, 24.6522, 2, 16.8901, 0.0306214, 7.09, 0.5, 39.4, 721, -0.012
16417, 39.2388, -34.5656, 2, 22.0723, 0.496467, 5.79, 0.66, 25.5, 29.5, -0.098
