   123	 5.96	 0.67	 20.3	  104.4
   166	 6.13	 0.75	 13.7	  111.0
   203	 6.18	 0.38	 39.1	   80.6
   661	 6.64	 0.37	 66.4	   74.1
   905	 5.72	 0.31	 35.0	   54.7
  1061	 5.79	 0.31	 80.2	  216.0
  1185	 6.15	 0.05	 93.0	  210.0
  1343	 6.45	 0.37	 48.9	   74.6
  1835	 6.39	 0.66	 20.4	   97.3
  2151	 2.80	 0.62	  7.5	    6.4
  2421	 5.17	 0.03	 81.2	  281.7
  2475	 6.43	 0.59	 32.2	  136.9
  2726	 5.69	 0.35	 45.1	 4900.2
  3158	 5.57	 0.47	 25.6	   39.6
  3196	 5.20	 0.56	 21.0	  428.9
  3229	 5.93	 0.44	 55.6	  336.6
  3302	 5.51	 0.44	 36.2	  251.5
  3794	 6.49	 0.92	154.3	 5597.4
  4089	 5.39	 0.50	 40.7	  211.5
  4150	 4.36	 0.00	 73.7	  270.0
  4222	 5.42	 0.04	107.8	  303.1
  4295	 6.33	 0.00	 40.6	   35.0
  4391	 5.80	 0.64	 14.9	   55.8
  4614	 3.44	 0.57	  6.0	    2.6
  4628	 5.75	 0.88	  7.5	    3.9
  4676	 5.07	 0.51	 23.9	    7.4
  4813	 5.19	 0.50	 15.5	    9.5
  5015	 4.82	 0.53	 18.6	    8.2
  5156	 6.46	 0.44	 74.5	  232.8
  5190	 6.22	 0.56	 61.2	  125.2
  6210	 5.84	 0.54	 80.2	  408.0
  6288	 6.04	 0.27	 56.6	  120.5
  6301	 6.19	 0.43	 42.0	  137.9
  6314	 6.72	 0.31	 84.4	  307.4
  6479	 6.35	 0.38	 45.7	   72.6
  6480	 7.25	 0.49	 44.1	   67.4
  6668	 6.37	 0.23	 71.6	  147.2
  6680	 6.25	 0.40	 41.9	  120.6
  6695	 5.55	 0.13	 49.4	  143.9
  6706	 5.82	 0.43	 47.7	  121.2
  6920	 5.65	 0.60	 52.7	  302.3
  7238	 6.26	 0.42	 72.3	  507.1
  7259	 6.52	 0.48	 71.2	  242.1
  7344	 5.24	 0.32	 45.3	  158.2
  7345	 6.30	 0.49	 45.3	  158.2
  7439	 5.13	 0.46	 24.4	   74.0
  7570	 4.96	 0.58	 15.1	   14.3
  7788	 4.86	 0.47	 20.4	  161.3
  7804	 5.16	 0.07	 67.4	   78.3
  8272	 6.45	 0.00	 57.7	  214.2
  8375	 6.29	 0.83	 58.9	  276.9
  8424	 6.49	 0.00	157.7	  292.1
  8556	 5.91	 0.41	 44.8	   48.8
  8589	 6.14	 0.91	102.5	  435.3
  8673	 6.31	 0.47	 38.3	   56.1
  8723	 5.38	 0.39	 26.1	  117.6
  8774	 6.27	 0.46	 42.6	  103.1
  8799	 4.83	 0.42	 28.3	  163.5
  8803	 6.58	-0.04	160.0	 1071.6
  9021	 5.81	 0.47	 29.2	   56.6
  9030	 6.14	 0.08	 86.7	  157.4
  9132	 5.12	 0.02	 67.9	  353.3
  9544	 6.28	 0.46	 80.6	  369.1
  9826	 4.09	 0.54	 13.5	   13.5
  9906	 5.69	 0.33	 62.0	  121.2
  9919	 5.57	 0.35	 33.8	   31.0
 10453	 5.75	 0.44	 37.3	   38.5
 10481	 6.17	 0.42	 41.9	  136.8
 10543	 6.21	 0.10	 79.2	 1685.7
 10697	 6.27	 0.75	 32.6	   34.9
 10700	 3.50	 0.72	  3.6	    1.1
 10780	 5.63	 0.81	 10.0	   22.0
 10800	 5.87	 0.61	 27.1	  180.3
 10830	 5.31	 0.39	 27.4	  155.0
 10874	 6.32	 0.43	 58.3	   79.0
 11031	 5.82	 0.29	101.6	  275.9
 11151	 5.90	 0.43	 44.6	   44.7
 11257	 5.94	 0.30	 42.6	   48.8
 11262	 6.37	 0.52	 27.1	   14.8
 11443	 3.41	 0.49	 19.7	  376.3
 11973	 4.79	 0.28	 40.8	   74.2
 12111	 4.54	 0.16	 35.8	  451.1
 12230	 5.38	 0.31	 33.6	 2360.7
 12235	 5.88	 0.62	 31.1	   28.8
 12311	 2.86	 0.28	 21.9	   42.9
 12363	 6.16	 0.44	 41.3	  142.0
 13445	 6.12	 0.82	 10.9	    4.1
 13456	 6.01	 0.39	 50.0	   68.4
 13594	 6.06	 0.40	 41.5	  227.4
 13612	 5.54	 0.57	 46.1	   45.9
 13871	 5.79	 0.44	 40.1	   78.1
 13872	 5.58	 0.49	 48.1	  155.7
 13974	 4.87	 0.61	 10.8	   37.5
 14691	 5.46	 0.35	 29.9	   21.2
 14802	 5.20	 0.60	 21.9	  397.1
 15089	 4.52	 0.12	 43.4	  372.1
 15144	 5.83	 0.15	 65.6	  422.6
 15524	 5.92	 0.41	 51.0	  491.9
 15798	 4.75	 0.45	 25.8	   27.0
 15814	 6.04	 0.54	 28.7	  188.6
 16160	 5.82	 0.98	  7.2	    1.8
