HD, RA, DEC, Band, Far UV Calibrated Magnitude, Far UV Error, Apparent V Magnitude, B-V Color Index, Distance, X-Ray Luminosity, Bolometric Correction
146362, 243.671, 33.8656, 2, 21.4687, 0.353017, 0, 0, 0, 0, 0
147365, 244.987, 39.7108, 2, 22.083, 0.410119, 0, 0, 0, 0, 0
147365, 244.987, 39.7108, 2, 14.2763, 0.0102966, 0, 0, 0, 0, 0
152311, 253.353, -20.4164, 3, 18.9467, 0.13119, 0, 0, 0, 0, 0
152311, 253.353, -20.4164, 2, 20.9488, 0.394677, 0, 0, 0, 0, 0
152598, 253.251, 31.7017, 2, 12.7164, 0.0050707, 0, 0, 0, 0, 0
153653, 255.118, 6.58472, 2, 13.0851, 0.00715021, 0, 0, 0, 0, 0
153653, 255.118, 6.58472, 2, 12.8544, 0.00808866, 0, 0, 0, 0, 0
154905, 256.323, 54.4658, 2, 14.8937, 0.024059, 0, 0, 0, 0, 0
154905, 256.323, 54.4658, 2, 14.9797, 0.020346, 0, 0, 0, 0, 0
154906, 256.323, 54.4658, 2, 14.8937, 0.024059, 0, 0, 0, 0, 0
154906, 256.323, 54.4658, 2, 14.9797, 0.020346, 0, 0, 0, 0, 0
157482, 260.42, 39.9867, 2, 21.6076, 0.397635, 0, 0, 0, 0, 0
159222, 263.004, 34.2778, 3, 18.9335, 0.109096, 0, 0, 0, 0, 0
159222, 263.004, 34.2778, 2, 21.9199, 0.465261, 0, 0, 0, 0, 0
162076, 267.097, 20.5667, 3, 19.1657, 0.125841, 0, 0, 0, 0, 0
162076, 267.097, 20.5667, 3, 19.0672, 0.113147, 0, 0, 0, 0, 0
162076, 267.097, 20.5667, 2, 21.305, 0.352975, 0, 0, 0, 0, 0
162917, 268.321, 6.11111, 2, 21.4982, 0.437697, 0, 0, 0, 0, 0
165645, 271.256, 41.9417, 2, 13.8364, 0.00781434, 0, 0, 0, 0, 0
165645, 271.256, 41.9417, 2, 14.0994, 0.0148073, 0, 0, 0, 0, 0
165908, 271.752, 30.5625, 2, 15.654, 0.0262713, 0, 0, 0, 0, 0
165908, 271.752, 30.5625, 2, 16.0199, 0.0244547, 0, 0, 0, 0, 0
167425, 274.915, -63.8806, 2, 19.7119, 0.172578, 0, 0, 0, 0, 0
167425, 274.915, -63.8806, 2, 19.122, 0.134366, 0, 0, 0, 0, 0
167425, 274.915, -63.8806, 2, 17.2902, 0.0340114, 0, 0, 0, 0, 0
167858, 274.271, 1.00194, 2, 13.9282, 0.00973613, 0, 0, 0, 0, 0
167858, 274.271, 1.00194, 2, 14.1081, 0.00750168, 0, 0, 0, 0, 0
168092, 273.688, 56.6003, 2, 21.0783, 0.290509, 0, 0, 0, 0, 0
172187, 279.19, 43.2186, 2, 21.3722, 0.374661, 0, 0, 0, 0, 0
172187, 279.19, 43.2186, 2, 12.9008, 0.00570249, 0, 0, 0, 0, 0
172187, 279.19, 43.2186, 2, 13.2951, 0.00748027, 0, 0, 0, 0, 0
173494, 281.168, 23.5861, 2, 15.4104, 0.0197399, 0, 0, 0, 0, 0
176668, 284.326, 62.4033, 3, 19.3892, 0.144791, 0, 0, 0, 0, 0
