2475,7.10708,-20.33,12,6380591490024867756,AIS,0,0.11038473055706742,0.59445732831954956,GALEX J002825.3-201943,7.1055360814507909,-20.328864796487331,1,128,128,-999,-999,21.82808,0.446498156,-999,-999,6.74167156,2.77177143,0.0200616736,false,-99,0.00306052039,7.73690,-20.27642,2006-11-14,2006-11-14,2006-11-14,54053.741400462961,54053.741400462961,54053.742881944447,AIS_275,50275,1,30,6380591490023817216,0.19987937808036804,0.22159591317176819,136,-99,-99,0
2475,7.10708,-20.33,12,6380591490024867714,AIS,0,0.47359061944377789,0.59762221574783325,GALEX J002824.7-202012,7.1029422371290414,-20.336873749772788,1,128,128,-999,-999,21.6379662,0.588921249,-999,-999,8.031801,4.35552359,0.0200616736,false,-99,0.004923697,7.73690,-20.27642,2006-11-14,2006-11-14,2006-11-14,54053.741400462961,54053.741400462961,54053.742881944447,AIS_275,50275,1,30,6380591490023817216,0.23812960088253021,0.32064220309257507,137,-99,-99,0
2475,7.10708,-20.33,12,6380591490024867737,AIS,0,0.27287101762181348,0.597490668296814,GALEX J002824.6-201953,7.1025495718536176,-20.331623515380429,1,128,128,-999,-999,21.2378426,0.395084918,-999,-999,11.6108084,4.22399235,0.0200616736,false,-99,0.00333256344,7.73690,-20.27642,2006-11-14,2006-11-14,2006-11-14,54053.741400462961,54053.741400462961,54053.742881944447,AIS_275,50275,1,30,6380591490023817216,0.34424123167991638,0.41545292735099792,137,-99,-99,0
2726,7.60417,-48.2139,13,6384672871818461186,AIS,0,0.16250723600422526,0.46996387839317322,GALEX J003025.4-481258,7.6060951107960566,-48.216285418590957,1,221.05,0,-999,-999,11.5520077,0.00117998314,-999,-999,86935.3359,94.45878,0.0146495849,false,-99,0.0205892976,8.00208,-47.82806,2011-10-09,2011-11-02,2011-11-25,55843.843182870369,55867.218182870369,55890.596851851849,AIS_391,50391,1,25,6384672871817412608,2577.488525390625,567.0810546875,0,-99,-99,-999
2726,7.60417,-48.2139,13,6384672872892206802,AIS,0,0.28581303192149465,0.539779782295227,GALEX J003026.6-481245,7.6110342420393131,-48.212569809586391,1,217,0,-999,-999,11.5005884,0.00167992909,-999,-999,91151.5547,141.001968,0.0146495849,false,-99,0.021152515,7.40251,-48.73435,2011-10-09,2011-11-02,2011-11-25,55843.839780092596,55867.214780092596,55890.593414351853,AIS_391,50391,1,26,6384672872891154432,2702.492431640625,621.5810546875,49,-99,-99,-999
3158,8.60417,-52.3819,14,6384672898663061059,AIS,0,0.3184885687773269,0.16236832737922669,GALEX J003424.8-522313,8.6033920298774742,-52.387186861656723,2,137,137,22.273222,0.402654022,-999,-999,4.474176,1.65888131,-999,-999,0.0129709244,false,0.001984223,-99,8.36629,-52.31378,2007-08-15,2007-08-19,2007-08-23,54327.630844907406,54331.464178240742,54335.3002662037,AIS_391,50391,1,50,6384672898660958208,-99,-99,2,0.041563406586647034,0.05963471531867981,0
3196,8.80042,-3.59889,15,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
3229,8.87958,0.515556,16,6380239692474879338,AIS,0,0.22391256420563366,0.12976767122745514,GALEX J003531.5+003044,8.88128464960221,0.51223616529121208,1,262,262,-999,-999,23.0647163,0.485567927,-999,-999,2.15830612,0.9650131,0.02145862,false,-99,0.002281109,8.79448,0.41577,2003-09-30,2005-09-18,2007-09-06,52912.664629629631,53631.12296296296,54349.623518518521,AIS_265,50265,1,73,6380239692473827328,0.063990198075771332,0.18266288936138153,0,-99,-99,0
3229,8.87958,0.515556,16,6380239692474879380,AIS,0,0.49423615879113697,0.12775219976902008,GALEX J003529.1+003103,8.8716050775747,0.51761958619386816,1,262,262,-999,-999,22.5984688,0.436978757,-999,-999,3.31597877,1.33426535,0.0211087726,false,-99,0.00373844942,8.79448,0.41577,2003-09-30,2005-09-18,2007-09-06,52912.664629629631,53631.12296296296,54349.623518518521,AIS_265,50265,1,73,6380239692473827328,0.098313271999359131,-0.017327852547168732,0,-99,-99,0
3229,8.87958,0.515556,16,2915133117204275371,MIS,0,0.32140940313557365,0.14974595606327057,GALEX J003531.6+003113,8.8819041992916361,0.52038239574699774,3,3653,3653,24.132267,0.389511436,22.9469528,0.367121071,0.807412,0.289591372,2.40557241,0.813201,0.0211087726,false,0.00204214244,0.00496139424,8.77660,0.41392,2006-10-29,2007-04-11,2007-09-23,54037.563668981478,54201.938668981478,54366.333738425928,MISWZS01_29063_0266,17317,1,-999,2915133117201121280,0.071321234107017517,0.075912021100521088,0,0.0075005530379712582,0.013825315050780773,0
